1, badlands, minecraft:badlands, MONSTER, minecraft:spider, 80, 4, 4
75, private, spectrum:black_langast, AMBIENT, minecraft:bat, 10, 8, 8
76, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:spider, 80, 4, 4
77, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie, 80, 4, 4
78, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
79, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:skeleton, 80, 4, 4
80, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:creeper, 80, 4, 4
81, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:slime, 80, 4, 4
82, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:enderman, 10, 1, 4
83, extreme_hills, minecraft:cherry_grove, MONSTER, minecraft:witch, 5, 1, 1
84, extreme_hills, minecraft:cherry_grove, MONSTER, bewitchment:ghost, 20, 1, 1
85, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:pig, 5, 1, 2
86, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:rabbit, 5, 2, 6
87, extreme_hills, minecraft:cherry_grove, CREATURE, minecraft:sheep, 5, 2, 4
88, extreme_hills, minecraft:cherry_grove, CREATURE, wildernature:minisheep, 13, 3, 6
89, extreme_hills, minecraft:cherry_grove, AMBIENT, minecraft:bat, 10, 8, 8
90, extreme_hills, minecraft:cherry_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
91, ocean, minecraft:cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
92, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
93, ocean, minecraft:cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
94, ocean, minecraft:cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
95, ocean, minecraft:cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
96, ocean, minecraft:cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
97, ocean, minecraft:cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
98, ocean, minecraft:cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
99, ocean, minecraft:cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
100, ocean, minecraft:cold_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
101, ocean, minecraft:cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
102, ocean, minecraft:cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
103, ocean, minecraft:cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
104, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
105, ocean, minecraft:cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
106, nether, minecraft:crimson_forest, MONSTER, minecraft:zombified_piglin, 5, 2, 4
107, nether, minecraft:crimson_forest, MONSTER, minecraft:hoglin, 9, 3, 4
108, nether, minecraft:crimson_forest, MONSTER, minecraft:piglin, 5, 3, 4
109, nether, minecraft:crimson_forest, MONSTER, bewitchment:hellhound, 6, 1, 1
110, nether, minecraft:crimson_forest, MONSTER, minecraft:ghast, 3, 4, 4
111, nether, minecraft:crimson_forest, CREATURE, minecraft:strider, 60, 1, 2
112, private, spectrum:crystal_gardens, CREATURE, minecraft:sniffer, 10, 3, 4
113, private, spectrum:crystal_gardens, AMBIENT, minecraft:bat, 10, 8, 8
114, private, spectrum:crystal_gardens, AXOLOTLS, minecraft:axolotl, 10, 1, 2
115, private, spectrum:crystal_gardens, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 1, 2
116, forest, minecraft:dark_forest, MONSTER, minecraft:spider, 80, 4, 4
117, forest, minecraft:dark_forest, MONSTER, minecraft:zombie, 80, 4, 4
118, forest, minecraft:dark_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
119, forest, minecraft:dark_forest, MONSTER, minecraft:skeleton, 80, 4, 4
120, forest, minecraft:dark_forest, MONSTER, minecraft:creeper, 80, 4, 4
121, forest, minecraft:dark_forest, MONSTER, minecraft:slime, 80, 4, 4
122, forest, minecraft:dark_forest, MONSTER, minecraft:enderman, 10, 1, 4
123, forest, minecraft:dark_forest, MONSTER, minecraft:witch, 5, 1, 1
124, forest, minecraft:dark_forest, MONSTER, bewitchment:ghost, 20, 1, 1
125, forest, minecraft:dark_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
126, forest, minecraft:dark_forest, CREATURE, minecraft:sheep, 12, 4, 4
127, forest, minecraft:dark_forest, CREATURE, minecraft:cow, 8, 4, 4
128, forest, minecraft:dark_forest, CREATURE, wildernature:boar, 14, 4, 5
129, forest, minecraft:dark_forest, CREATURE, wildernature:deer, 13, 2, 4
130, forest, minecraft:dark_forest, CREATURE, wildernature:hedgehog, 13, 1, 3
131, forest, minecraft:dark_forest, CREATURE, bewitchment:owl, 10, 1, 2
132, forest, minecraft:dark_forest, CREATURE, wildernature:owl, 12, 2, 3
133, forest, minecraft:dark_forest, CREATURE, bewitchment:raven, 10, 1, 3
134, forest, minecraft:dark_forest, CREATURE, wildernature:turkey, 12, 3, 5
135, forest, minecraft:dark_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
136, forest, minecraft:dark_forest, AMBIENT, minecraft:bat, 10, 8, 8
137, forest, minecraft:dark_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
138, private, spectrum:deep_barrens, MONSTER, minecraft:zombie, 80, 4, 4
139, private, spectrum:deep_barrens, MONSTER, minecraft:skeleton, 80, 4, 4
140, private, spectrum:deep_barrens, MONSTER, minecraft:creeper, 80, 4, 4
141, private, spectrum:deep_barrens, MONSTER, minecraft:stray, 25, 4, 8
142, private, spectrum:deep_barrens, MONSTER, minecraft:phantom, 5, 1, 2
143, private, spectrum:deep_barrens, AMBIENT, minecraft:bat, 10, 8, 8
144, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:spider, 80, 4, 4
145, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie, 80, 4, 4
146, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
147, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
148, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:creeper, 80, 4, 4
149, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:slime, 80, 4, 4
150, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:enderman, 10, 1, 4
151, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:witch, 5, 1, 1
152, ocean, minecraft:deep_cold_ocean, MONSTER, minecraft:drowned, 5, 1, 1
153, ocean, minecraft:deep_cold_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
154, ocean, minecraft:deep_cold_ocean, AMBIENT, minecraft:bat, 10, 8, 8
155, ocean, minecraft:deep_cold_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
156, ocean, minecraft:deep_cold_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
157, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:cod, 15, 3, 6
158, ocean, minecraft:deep_cold_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
159, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
160, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
161, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:drowned, 25, 4, 8
162, private, spectrum:deep_dripstone_caves, MONSTER, minecraft:slime, 10, 1, 3
163, private, spectrum:deep_dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
164, private, spectrum:deep_dripstone_caves, WATER_AMBIENT, minecraft:cod, 15, 3, 6
165, private, spectrum:deep_dripstone_caves, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
166, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
167, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
168, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
169, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
170, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
171, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
172, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
173, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
174, ocean, minecraft:deep_frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
175, ocean, minecraft:deep_frozen_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
176, ocean, minecraft:deep_frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
177, ocean, minecraft:deep_frozen_ocean, CREATURE, wildernature:penguin, 11, 4, 6
178, ocean, minecraft:deep_frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
179, ocean, minecraft:deep_frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
180, ocean, minecraft:deep_frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
181, ocean, minecraft:deep_frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
182, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:spider, 80, 4, 4
183, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie, 80, 4, 4
184, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
185, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
186, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:creeper, 80, 4, 4
187, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:slime, 80, 4, 4
188, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:enderman, 10, 1, 4
189, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:witch, 5, 1, 1
190, ocean, minecraft:deep_lukewarm_ocean, MONSTER, minecraft:drowned, 5, 1, 1
191, ocean, minecraft:deep_lukewarm_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
192, ocean, minecraft:deep_lukewarm_ocean, AMBIENT, minecraft:bat, 10, 8, 8
193, ocean, minecraft:deep_lukewarm_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
194, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:squid, 8, 1, 4
195, ocean, minecraft:deep_lukewarm_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
196, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:cod, 8, 3, 6
197, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:pufferfish, 5, 1, 3
198, ocean, minecraft:deep_lukewarm_ocean, WATER_AMBIENT, minecraft:tropical_fish, 25, 8, 8
199, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
200, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
201, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
202, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
203, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
204, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
205, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 10, 1, 4
206, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
207, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 5, 1, 1
208, ocean, minecraft:deep_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
209, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
210, ocean, minecraft:deep_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
211, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
212, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 5, 1, 2
213, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
214, desert, minecraft:desert, MONSTER, minecraft:spider, 80, 4, 4
215, desert, minecraft:desert, MONSTER, minecraft:zombie, 19, 4, 4
216, desert, minecraft:desert, MONSTER, minecraft:zombie_villager, 5, 1, 1
217, desert, minecraft:desert, MONSTER, minecraft:skeleton, 80, 4, 4
218, desert, minecraft:desert, MONSTER, minecraft:creeper, 80, 4, 4
219, desert, minecraft:desert, MONSTER, minecraft:slime, 80, 4, 4
220, desert, minecraft:desert, MONSTER, minecraft:enderman, 10, 1, 4
221, desert, minecraft:desert, MONSTER, minecraft:witch, 5, 1, 1
222, desert, minecraft:desert, MONSTER, minecraft:husk, 80, 4, 4
223, desert, minecraft:desert, MONSTER, bewitchment:ghost, 20, 1, 1
224, desert, minecraft:desert, CREATURE, minecraft:rabbit, 5, 2, 3
225, desert, minecraft:desert, CREATURE, bewitchment:snake, 6, 1, 2
226, desert, minecraft:desert, AMBIENT, minecraft:bat, 10, 8, 8
227, desert, minecraft:desert, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
228, private, spectrum:dragonrot_swamp, MONSTER, spectrum:eraser, 50, 4, 8
229, private, spectrum:dragonrot_swamp, MONSTER, minecraft:skeleton, 80, 4, 4
230, private, spectrum:dragonrot_swamp, MONSTER, minecraft:creeper, 80, 4, 4
231, private, spectrum:dragonrot_swamp, MONSTER, minecraft:drowned, 80, 4, 8
232, private, spectrum:dragonrot_swamp, MONSTER, minecraft:spider, 10, 4, 4
233, private, spectrum:dragonrot_swamp, MONSTER, minecraft:phantom, 5, 1, 2
234, private, spectrum:dragonrot_swamp, AMBIENT, minecraft:bat, 10, 8, 8
235, private, minecraft:dripstone_caves, MONSTER, minecraft:spider, 80, 4, 4
236, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie, 80, 4, 4
237, private, minecraft:dripstone_caves, MONSTER, minecraft:zombie_villager, 5, 1, 1
238, private, minecraft:dripstone_caves, MONSTER, minecraft:skeleton, 80, 4, 4
239, private, minecraft:dripstone_caves, MONSTER, minecraft:creeper, 80, 4, 4
240, private, minecraft:dripstone_caves, MONSTER, minecraft:slime, 80, 4, 4
241, private, minecraft:dripstone_caves, MONSTER, minecraft:enderman, 10, 1, 4
242, private, minecraft:dripstone_caves, MONSTER, minecraft:witch, 5, 1, 1
243, private, minecraft:dripstone_caves, MONSTER, minecraft:drowned, 80, 4, 4
244, private, minecraft:dripstone_caves, MONSTER, bewitchment:ghost, 20, 1, 1
245, private, minecraft:dripstone_caves, AMBIENT, minecraft:bat, 10, 8, 8
246, private, minecraft:dripstone_caves, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
247, private, minecraft:end_barrens, MONSTER, minecraft:enderman, 10, 4, 4
248, private, minecraft:end_highlands, MONSTER, minecraft:enderman, 10, 4, 4
249, private, minecraft:end_midlands, MONSTER, minecraft:enderman, 10, 4, 4
250, badlands, minecraft:eroded_badlands, MONSTER, minecraft:spider, 80, 4, 4
251, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie, 80, 4, 4
252, badlands, minecraft:eroded_badlands, MONSTER, minecraft:zombie_villager, 5, 1, 1
253, badlands, minecraft:eroded_badlands, MONSTER, minecraft:skeleton, 80, 4, 4
254, badlands, minecraft:eroded_badlands, MONSTER, minecraft:creeper, 80, 4, 4
255, badlands, minecraft:eroded_badlands, MONSTER, minecraft:slime, 80, 4, 4
256, badlands, minecraft:eroded_badlands, MONSTER, minecraft:enderman, 10, 1, 4
257, badlands, minecraft:eroded_badlands, MONSTER, minecraft:witch, 5, 1, 1
258, badlands, minecraft:eroded_badlands, MONSTER, bewitchment:ghost, 20, 1, 1
259, badlands, minecraft:eroded_badlands, AMBIENT, minecraft:bat, 10, 8, 8
260, badlands, minecraft:eroded_badlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
261, forest, minecraft:flower_forest, MONSTER, minecraft:spider, 80, 4, 4
262, forest, minecraft:flower_forest, MONSTER, minecraft:zombie, 80, 4, 4
263, forest, minecraft:flower_forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
264, forest, minecraft:flower_forest, MONSTER, minecraft:skeleton, 80, 4, 4
265, forest, minecraft:flower_forest, MONSTER, minecraft:creeper, 80, 4, 4
266, forest, minecraft:flower_forest, MONSTER, minecraft:slime, 80, 4, 4
267, forest, minecraft:flower_forest, MONSTER, minecraft:enderman, 10, 1, 4
268, forest, minecraft:flower_forest, MONSTER, minecraft:witch, 5, 1, 1
269, forest, minecraft:flower_forest, MONSTER, bewitchment:ghost, 20, 1, 1
270, forest, minecraft:flower_forest, MONSTER, bewitchment:werewolf, 20, 1, 1
271, forest, minecraft:flower_forest, CREATURE, minecraft:sheep, 12, 4, 4
272, forest, minecraft:flower_forest, CREATURE, minecraft:cow, 8, 4, 4
273, forest, minecraft:flower_forest, CREATURE, minecraft:rabbit, 5, 2, 3
274, forest, minecraft:flower_forest, CREATURE, wildernature:boar, 14, 4, 5
275, forest, minecraft:flower_forest, CREATURE, wildernature:deer, 13, 2, 4
276, forest, minecraft:flower_forest, CREATURE, wildernature:hedgehog, 13, 1, 3
277, forest, minecraft:flower_forest, CREATURE, bewitchment:owl, 10, 1, 2
278, forest, minecraft:flower_forest, CREATURE, wildernature:owl, 12, 2, 3
279, forest, minecraft:flower_forest, CREATURE, bewitchment:raven, 10, 1, 3
280, forest, minecraft:flower_forest, CREATURE, wildernature:squirrel, 10, 2, 2
281, forest, minecraft:flower_forest, CREATURE, wildernature:turkey, 12, 3, 5
282, forest, minecraft:flower_forest, CREATURE, meadow:wooly_cow, 10, 2, 3
283, forest, minecraft:flower_forest, AMBIENT, minecraft:bat, 10, 8, 8
284, forest, minecraft:flower_forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
285, forest, minecraft:forest, MONSTER, minecraft:spider, 80, 4, 4
286, forest, minecraft:forest, MONSTER, minecraft:zombie, 80, 4, 4
287, forest, minecraft:forest, MONSTER, minecraft:zombie_villager, 5, 1, 1
288, forest, minecraft:forest, MONSTER, minecraft:skeleton, 80, 4, 4
289, forest, minecraft:forest, MONSTER, minecraft:creeper, 80, 4, 4
290, forest, minecraft:forest, MONSTER, minecraft:slime, 80, 4, 4
291, forest, minecraft:forest, MONSTER, minecraft:enderman, 10, 1, 4
292, forest, minecraft:forest, MONSTER, minecraft:witch, 5, 1, 1
293, forest, minecraft:forest, MONSTER, bewitchment:ghost, 20, 1, 1
294, forest, minecraft:forest, MONSTER, bewitchment:werewolf, 20, 1, 1
295, forest, minecraft:forest, CREATURE, minecraft:sheep, 12, 4, 4
296, forest, minecraft:forest, CREATURE, minecraft:cow, 8, 4, 4
297, forest, minecraft:forest, CREATURE, minecraft:wolf, 5, 4, 4
298, forest, minecraft:forest, CREATURE, wildernature:boar, 14, 4, 5
299, forest, minecraft:forest, CREATURE, wildernature:deer, 13, 2, 4
300, forest, minecraft:forest, CREATURE, wildernature:hedgehog, 13, 1, 3
301, forest, minecraft:forest, CREATURE, bewitchment:owl, 10, 1, 2
302, forest, minecraft:forest, CREATURE, wildernature:owl, 12, 2, 3
303, forest, minecraft:forest, CREATURE, bewitchment:raven, 10, 1, 3
304, forest, minecraft:forest, CREATURE, wildernature:squirrel, 10, 2, 2
305, forest, minecraft:forest, CREATURE, wildernature:turkey, 12, 3, 5
306, forest, minecraft:forest, CREATURE, meadow:wooly_cow, 10, 2, 3
307, forest, minecraft:forest, AMBIENT, minecraft:bat, 10, 8, 8
308, forest, minecraft:forest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
309, ocean, minecraft:frozen_ocean, MONSTER, minecraft:spider, 80, 4, 4
310, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie, 80, 4, 4
311, ocean, minecraft:frozen_ocean, MONSTER, minecraft:zombie_villager, 5, 1, 1
312, ocean, minecraft:frozen_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
313, ocean, minecraft:frozen_ocean, MONSTER, minecraft:creeper, 80, 4, 4
314, ocean, minecraft:frozen_ocean, MONSTER, minecraft:slime, 80, 4, 4
315, ocean, minecraft:frozen_ocean, MONSTER, minecraft:enderman, 10, 1, 4
316, ocean, minecraft:frozen_ocean, MONSTER, minecraft:witch, 5, 1, 1
317, ocean, minecraft:frozen_ocean, MONSTER, minecraft:drowned, 5, 1, 1
318, ocean, minecraft:frozen_ocean, MONSTER, bewitchment:ghost, 20, 1, 1
319, ocean, minecraft:frozen_ocean, CREATURE, minecraft:polar_bear, 5, 1, 2
320, ocean, minecraft:frozen_ocean, CREATURE, wildernature:penguin, 11, 4, 6
321, ocean, minecraft:frozen_ocean, AMBIENT, minecraft:bat, 10, 8, 8
322, ocean, minecraft:frozen_ocean, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
323, ocean, minecraft:frozen_ocean, WATER_CREATURE, minecraft:squid, 5, 1, 4
324, ocean, minecraft:frozen_ocean, WATER_AMBIENT, minecraft:salmon, 15, 1, 5
325, extreme_hills, minecraft:frozen_peaks, MONSTER, minecraft:spider, 80, 4, 4
