1, amethyst_imbuement:witch_house, HEADING, header:ignore, 0, 0, 0
56, minecraft:ocean_ruin_warm, HEADING, header:ignore, 0, 0, 0
57, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
58, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
59, minecraft:ruined_portal_mountain, HEADING, header:ignore, 0, 0, 0
60, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
61, meadow:logging_camp, HEADING, header:ignore, 0, 0, 0
62, meadow:logging_camp, CREATURE, minecraft:pig, 5, 1, 4
63, bloomingnature:swamp_hut, HEADING, header:ignore, 0, 0, 0
64, bloomingnature:swamp_hut, CREATURE, minecraft:witch, 5, 1, 4
65, minecraft:shipwreck_beached, HEADING, header:ignore, 0, 0, 0
66, bloomingnature:tree_stump, HEADING, header:ignore, 0, 0, 0
67, spectrum:city_below, HEADING, header:ignore, 0, 0, 0
68, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
69, bakery:bakery, HEADING, header:ignore, 0, 0, 0
70, bakery:bakery, CREATURE, minecraft:pig, 5, 1, 4
71, spectrum:preservation_ruins, HEADING, header:ignore, 0, 0, 0
72, ad_astra:venus_bullet, HEADING, header:ignore, 0, 0, 0
73, minecraft:village_plains, HEADING, header:ignore, 0, 0, 0
74, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
75, spectrum:forsaken_cathedral, HEADING, header:ignore, 0, 0, 0
76, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
77, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
78, spectrum:undergrowth_manor, HEADING, header:ignore, 0, 0, 0
79, ad_astra:lunarian_village, HEADING, header:ignore, 0, 0, 0
80, ad_astra:mars_temple, HEADING, header:ignore, 0, 0, 0
81, malum:weeping_well, HEADING, header:ignore, 0, 0, 0
82, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
83, meadow:bench, HEADING, header:ignore, 0, 0, 0
84, meadow:bench, CREATURE, minecraft:pig, 5, 1, 4
85, bloomingnature:swamp_ruin_1, HEADING, header:ignore, 0, 0, 0
86, bloomingnature:swamp_ruin_1, CREATURE, minecraft:witch, 5, 1, 4
87, ad_astra:moon_dungeon, HEADING, header:ignore, 0, 0, 0
88, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
89, minecraft:pillager_outpost, MONSTER, minecraft:pillager, 5, 1, 1
90, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
91, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
92, bloomingnature:swamp_ruin_2, HEADING, header:ignore, 0, 0, 0
93, bloomingnature:swamp_ruin_2, CREATURE, minecraft:witch, 5, 1, 4
94, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
95, ad_astra:oil_well, HEADING, header:ignore, 0, 0, 0
96, minecells:promenade, HEADING, header:ignore, 0, 0, 0
97, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
98, spellbladenext:firetower, HEADING, header:ignore, 0, 0, 0
99, spectrum:pedestal_ruins_stone, HEADING, header:ignore, 0, 0, 0
100, meadow:chalet, HEADING, header:ignore, 0, 0, 0
101, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
102, bloomingnature:cottage, HEADING, header:ignore, 0, 0, 0
103, spectrum:lizard_den/dripstone, HEADING, header:ignore, 0, 0, 0
104, spectrum:lizard_den/dripstone, CREATURE, spectrum:lizard, 5, 1, 2
105, zenith:tower_sand, HEADING, header:ignore, 0, 0, 0
106, minecells:promenade_wall_z, HEADING, header:ignore, 0, 0, 0
107, ad_astra:lunar_tower, HEADING, header:ignore, 0, 0, 0
108, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
109, spellbladenext:frosttower, HEADING, header:ignore, 0, 0, 0
110, bloomingnature:swamp_ruin_3, HEADING, header:ignore, 0, 0, 0
111, bloomingnature:swamp_ruin_3, CREATURE, minecraft:witch, 5, 1, 4
